Handle,REF,Nombre,Categoria,Descripción,Vendido por peso,Opción 1 nombre,Opción 1 valor,Opción 2 nombre,Opción 2 valor,Opción 3 nombre,Opción 3 valor,Precio por defecto,Coste,Codigo de barras,REF del componente,Cantidad del componente,Seguir el Inventario,Disponibles para la venta [Master burger],Precio [Master burger],En inventario [Master burger],Existencias bajas [Master burger],"modificador - ""Extras""","modificador - ""Queso""","modificador - ""Bebidas""","modificador - ""Descuento""","modificador - ""Promos""","modificador - ""Hamburguesas""","modificador - ""Cervezas""","modificador - ""Chilaquiles""","modificador - ""extras combo""","modificador - ""alas kilos""","modificador - ""charolas especiales""","modificador - ""bubbles""","modificador - ""Jarabe""","modificador - ""miches""","modificador - ""als y bon""","modificador - ""CREPAS""","modificador - ""EXTRA ANGUS""","modificador - ""papas promo""","modificador - ""Extras almuerzos""","modificador - ""ACOMPAÑANTES""","modificador - ""POSTRES""","modificador - ""PROTEINAS CARNE""","modificador - ""PROTEINAS POLLO""","modificador - ""COSTILLAS"""
cantarito-1lt,10319,Cantarito 1lt,Drinks,,N,,,,,,,120.00,0.00,,,,N,Y,120.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cantarito,10047,Cantarito c/ tequila,Drinks,,N,,,,,,,60.00,0.00,,,,Y,Y,60.00,721.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cantarito-sin-alcohol,10275,Cantarito sin alcohol,Drinks,,N,,,,,,,40.00,0.00,,,,N,Y,40.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
carga-cel,10559,Carga cel,,,N,,,,,,,10.00,0.00,,,,N,Y,10.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
caribe,10054,Caribe,Drinks,,N,,,,,,,35.00,0.00,,,,N,Y,35.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
caribe-preparada-1,10253,Caribe preparada,Drinks,,N,,,,,,,70.00,0.00,,,,N,Y,70.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
carne-apache,10281,Carne apache,Extras,,Y,,,,,,,190.00,0.00,,,,N,Y,190.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
carne-extra-angus-150,10217,Carne extra angus 150,HAMBURGUESAS,,N,,,,,,,40.00,0.00,,,,N,Y,40.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
carne-res-hamburguesa,10189,CARNE RES HAMBURGUESA,Inventario máster burger,,N,,,,,,,14.00,0.00,,,,Y,N,14.00,120.000,30.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cebollas-asadas-6pz,10267,Cebollas asadas 6pz,Tacos,,N,,,,,,,25.00,0.00,,,,N,Y,25.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cebollas-cambray-10pz,10365,Cebollas cambray 10pz,Charolas navideñas,,N,,,,,,,50.00,0.00,,,,N,Y,50.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cecina-asada,10306,Cecina asada,Especiales,,N,,,,,,,120.00,0.00,,,,N,Y,120.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cerrillo,10245,Cerrillo,Envios,,N,,,,,,,variable,70.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cerveza-chica,10411,Cerveza chica,,,N,,,,,,,35.00,0.00,,,,N,Y,35.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cerveza-sol-clamato,10248,Cerveza sol clamato,Drinks,,N,,,,,,,40.00,0.00,,,,N,Y,40.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
ceviche,10438,Ceviche,Mariscos,,N,,,,,,,90.00,0.00,,,,N,Y,90.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
champiñones-empanizados,10255,Champiñones empanizados,Alitas y Boneless,,N,,,,,,,65.00,0.00,,,,N,Y,65.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
charola,10333,Charola,Sueltos,,N,,,,,,,5.00,0.00,,,,N,Y,5.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
charola-2px,10508,Charola 2px,Charolas navideñas,,N,,,,,,,500.00,0.00,,,,N,Y,500.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
charola-carne,10222,CHAROLA CARNE,Charolas,,N,,,,,,,1600.00,0.00,,,,N,Y,1600.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N
charola-pollo,10264,CHAROLA POLLO,Charolas,,N,,,,,,,1600.00,0.00,,,,N,Y,1600.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N
charolas-mixtas,10535,charolas mixtas,Charolas,,N,OPCIONES,CODOS,Tamaño,1/2L,,,50.00,0.00,,,,N,Y,50.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
charolas-mixtas,10534,,,,,,CODOS,,1L,,,90.00,0.00,,,,,Y,90.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
charolas-mixtas,10527,,,,,,ESPAGUETHI,,1/2L,,,40.00,0.00,,,,,Y,40.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
charolas-mixtas,10526,,,,,,ESPAGUETHI,,1L,,,80.00,0.00,,,,,Y,80.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
charolas-mixtas,10529,,,,,,MACARRONES,,1/2L,,,50.00,0.00,,,,,Y,50.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
charolas-mixtas,10528,,,,,,MACARRONES,,1L,,,90.00,0.00,,,,,Y,90.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
charolas-mixtas,10523,,,,,,MANZANA,,1/2L,,,60.00,0.00,,,,,Y,60.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
charolas-mixtas,10522,,,,,,MANZANA,,1L,,,120.00,0.00,,,,,Y,120.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
charolas-mixtas,10533,,,,,,PAPAS CONREMA,,1/2L,,,45.00,0.00,,,,,Y,45.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
charolas-mixtas,10532,,,,,,PAPAS CONREMA,,1L,,,80.00,0.00,,,,,Y,80.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
charolas-mixtas,10531,,,,,,PURE DE PAPA,,1/2L,,,50.00,0.00,,,,,Y,50.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
charolas-mixtas,10530,,,,,,PURE DE PAPA,,1L,,,90.00,0.00,,,,,Y,90.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
charolas-mixtas,10525,,,,,,ZANAHORIA,,1/2L,,,60.00,0.00,,,,,Y,60.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
charolas-mixtas,10524,,,,,,ZANAHORIA,,1L,,,120.00,0.00,,,,,Y,120.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
charolas-mixtas-2,10339,CHAROLAS MIXTAS 2,Charolas,,Y,CARNE,AHUJAS NORTEÑAS,,,,,450.00,0.00,,,,N,Y,450.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
charolas-mixtas-2,10480,,,,,,ALAMBRE,,,,,400.00,0.00,,,,,Y,400.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
charolas-mixtas-2,10215,,,,,,ARRACHERA,,,,,450.00,0.00,,,,,Y,450.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
charolas-mixtas-2,10274,,,,,,BISTECK,,,,,450.00,0.00,,,,,Y,450.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
charolas-mixtas-2,10288,,,,,,"CH,ARGENTINO",,,,,400.00,0.00,,,,,Y,400.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
charolas-mixtas-2,10305,,,,,,CH.VERDE,,,,,400.00,0.00,,,,,Y,400.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
charolas-mixtas-2,10317,,,,,,CHISTORRA,,,,,400.00,0.00,,,,,Y,400.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
charolas-mixtas-2,10284,,,,,,CHULETA,,,,,400.00,0.00,,,,,Y,400.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
charolas-mixtas-2,10287,,,,,,LONGANIZA,,,,,400.00,0.00,,,,,Y,400.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
charolas-mixtas-2,10419,,,,,,PASTOR,,,,,400.00,0.00,,,,,Y,400.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cheescake-zarza-entero,10087,Cheescake zarza entero,Postres,,N,,,,,,,380.00,234.00,,,,N,Y,380.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
pastel-chocolate,10109,Cheskey chocolate chispas,Postres,,N,,,,,,,380.00,250.00,,,,Y,Y,380.00,67.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
chicles,10162,Chicles,Dulces,,N,,,,,,,3.00,1.50,,,,N,Y,3.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
chilaquiles-1,10329,Chilaquiles,Almuerzos,,N,Sabor,Cecina,Tamaño,Chico,,,85.00,0.00,,,,N,Y,85.00,,,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
chilaquiles-1,10326,,,,,,Cecina,,Gde,,,115.00,0.00,,,,,Y,115.00,,,,,,,,,,,,,,,,,,,,,,,,,,
chilaquiles-1,10314,,,,,,Pechuga asada,,Chico,,,85.00,0.00,,,,,Y,85.00,,,,,,,,,,,,,,,,,,,,,,,,,,
chilaquiles-1,10309,,,,,,Pechuga asada,,Gde,,,115.00,0.00,,,,,Y,115.00,,,,,,,,,,,,,,,,,,,,,,,,,,
chilaquiles-1,10340,,,,,,Pechuga empanizada,,Chico,,,85.00,0.00,,,,,Y,85.00,,,,,,,,,,,,,,,,,,,,,,,,,,
chilaquiles-1,10337,,,,,,Pechuga empanizada,,Gde,,,115.00,0.00,,,,,Y,115.00,,,,,,,,,,,,,,,,,,,,,,,,,,
chilaquiles-1,10113,,,,,,Pollo deshebrado,,Ch,,,45.00,0.00,,,,,Y,45.00,,,,,,,,,,,,,,,,,,,,,,,,,,
chilaquiles-1,10208,,,,,,Pollo deshebrado,,Gde,,,75.00,0.00,,,,,Y,75.00,,,,,,,,,,,,,,,,,,,,,,,,,,
chiles-momia,10359,Chiles momia,Charolas navideñas,,N,,,,,,,35.00,0.00,,,,N,Y,35.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
chimichanga-con-papas,10433,Chimichanga con papas,Alitas y Boneless,,N,,,,,,,120.00,0.00,,,,N,Y,120.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
chorizo,10321,Chorizo,Charolas navideñas,,Y,argentino,0,verde,0,chistorra,0,360.00,0.00,,,,N,Y,360.00,,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
churrumais,10250,Churrumais,Sabritas,,N,,,,,,,15.00,0.00,,,,N,Y,15.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cigarros,10137,Cigarros,,,N,,,,,,,10.00,5.00,,,,N,Y,10.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
clamato-1/2-prepado,10148,Clamato 1/2 prepado,,,N,,,,,,,40.00,30.00,,,,N,Y,40.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
clamato-litro,10485,Clamato litro,Drinks,,N,,,,,,,80.00,0.00,,,,N,Y,80.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
clamato-preparado,10252,Clamato preparado,Drinks,,N,,,,,,,35.00,0.00,,,,N,Y,35.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
clasico,10061,Clasico,Mojitos de sabor,,N,,,,,,,70.00,0.00,,,,Y,Y,70.00,929.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
refresco-600-ml,10091,COCA,Refrescos,,N,TAMAÑO,355ML,,,,,25.00,0.00,,,,Y,N,25.00,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
refresco-600-ml,10089,,,,,,600ML,,,,,35.00,0.00,,,,,Y,35.00,-467.000,10.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
refresco-600-ml,10090,,,,,,VIDRIO,,,,,35.00,0.00,,,,,Y,35.00,-827.000,20.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
coca-3lt,10230,Coca 3lt,Refrescos,,N,,,,,,,70.00,0.00,,,,N,Y,70.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
coca-600ml,10555,Coca 600ml,,,N,,,,,,,variable,0.00,,,,Y,N,variable,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
coca-de-lata,10294,Coca de lata,Refrescos,,N,,,,,,,30.00,25.00,,,,N,N,30.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cochinita,10187,Cochinita,Tacos,,N,,,,,,,30.00,0.00,,,,N,Y,30.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
coco,10068,Coco,Mojitos de sabor,,N,,,,,,,70.00,0.00,,,,Y,Y,70.00,1000.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
coctel-camarón,10421,Coctel mariscos,Mariscos,,N,chico,camaron,grande,camaron,,,120.00,0.00,,,,N,Y,120.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
coctel-camarón,10422,,,,,,camaron,,vuele a la vida,,,170.00,0.00,,,,,Y,170.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
combo-hamburguesa-pollo,10052,Combo hamburguesa pollo,Escuelas,,N,,,,,,,85.00,0.00,,,,N,Y,85.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
combo-hamburguesa-res,10046,Combo hamburguesa res,Escuelas,,N,,,,,,,70.00,0.00,,,,N,Y,70.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
combo-junior,10045,Combo junior,Escuelas,,N,,,,,,,50.00,0.00,,,,N,Y,50.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
combo-pareja,10280,Combo pareja,,,N,,,,,,,199.00,199.00,,,,N,Y,199.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
combo-pozole-y-tacos,10186,Combo pozole y tacos,Almuerzos,,N,,,,,,,80.00,0.00,,,,N,Y,80.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
comida-+-agua-1/2,10102,Comida + agua 1/2,Almuerzos,,N,,,,,,,80.00,0.00,,,,N,Y,80.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
comida-corrida,10206,Comida corrida,Almuerzos,,N,,,,,,,65.00,0.00,,,,N,Y,65.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
conchitas,10296,Conchitas,Sodas,,N,,,,,,,10.00,0.00,,,,N,Y,10.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
corona-extra,10192,Corona 355ml,Drinks,,N,color,clara,,,,,35.00,0.00,,,,Y,Y,35.00,-131.000,10.000,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
corona-extra,10057,,,,,,obscura,,,,,35.00,0.00,,,,,Y,35.00,-269.000,10.000,,,,,,,,,,,,,,,,,,,,,,,,
coronita,10240,Coronita,Drinks,,N,,,,,,,25.00,0.00,,,,N,Y,25.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
costilla,10241,Costilla,,,N,,,,,,,250.00,0.00,,,,N,Y,250.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
costilla-bbq-kg,10507,Costilla bbq kg,Charolas navideñas,,Y,,,,,,,400.00,0.00,,,,N,Y,400.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
costilla-macarrones-promo,10268,Costilla macarrones promo,,,N,,,,,,,95.00,0.00,,,,N,Y,95.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
costillas-bbq,10363,Costillas bbq 1.5KG,Charolas navideñas,<p>1.5KG DE COSTILLA</p><p>MACARRONES Y ELOTES</p>,N,,,,,,,400.00,0.00,,,,N,Y,400.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
costillas-bbq-c-papas,10105,Costillas BBQ c papas,Alitas y Boneless,,N,,,,,,,120.00,55.00,,,,N,Y,120.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
crepa,10201,Crepa,Postres,,N,RELLENO,CAJETA,,,,,50.00,0.00,,,,N,Y,50.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N
crepa,10204,,,,,,FRUTOSROJOS,,,,,50.00,0.00,,,,,Y,50.00,,,,,,,,,,,,,,,,,,,,,,,,,,
crepa,10191,,,,,,LECHERA,,,,,50.00,0.00,,,,,Y,50.00,,,,,,,,,,,,,,,,,,,,,,,,,,
crepa,10203,,,,,,MARACUYA,,,,,50.00,0.00,,,,,Y,50.00,,,,,,,,,,,,,,,,,,,,,,,,,,
crepa,10196,,,,,,NUTELLA,,,,,50.00,0.00,,,,,Y,50.00,,,,,,,,,,,,,,,,,,,,,,,,,,
crepa,10197,,,,,,PHILADELPHIA,,,,,50.00,0.00,,,,,Y,50.00,,,,,,,,,,,,,,,,,,,,,,,,,,
croissant,10115,Croissant,Almuerzos,,N,,,,,,,80.00,0.00,,,,N,Y,80.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cuba-jose-cuervo,10195,Cuba Jose cuervo,Drinks,,N,,,,,,,80.00,0.00,,,,N,Y,80.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
daikiri,10071,Daikiri,Mojitos de sabor,,N,,,,,,,70.00,0.00,,,,Y,Y,70.00,999.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
daikiri-s/alcohol,10072,Daikiri s/alcohol,Mojitos de sabor,,N,,,,,,,40.00,0.00,,,,Y,Y,40.00,999.000,0.000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
dedos-de-queso,10143,Dedos de queso,Alitas y Boneless,,N,,,,,,,105.00,55.00,,,,Y,Y,105.00,-84.000,3.000,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
dedos-de-queso-10pz,10078,DEDOS DE QUESO 10PZ,Charolas navideñas,,N,,,,,,,100.00,0.00,,,,N,Y,100.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
dedos-de-queso-5pz,10509,Dedos de queso 5pz,Alitas y Boneless,,N,,,,,,,50.00,0.00,,,,N,Y,50.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
desechable,10330,Desechable,,,N,,,,,,,variable,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
dominguera-haw,10588,Dominguera haw,Promos,,N,,,,,,,128.00,0.00,,,,N,Y,128.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
donas,10212,Donas,Postres,,N,,,,,,,25.00,0.00,,,,N,Y,25.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
dorado-1,10291,Dorado,Almuerzos,,N,Dorado,Enchiladas,,,,,60.00,0.00,,,,N,Y,60.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
dorado-1,10270,,,,,,Pambazo,,,,,40.00,0.00,,,,,Y,40.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
dorado-1,10272,,,,,,Taco dorado solo,,,,,12.00,0.00,,,,,Y,12.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
dorado-1,10271,,,,,,Tacos dorados ord,,,,,40.00,0.00,,,,,Y,40.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
dorado-1,10285,,,,,,Tostadas preparadas,,,,,25.00,0.00,,,,,Y,25.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
dorado-1,10273,,,,,,Tostadas sencillas,,,,,20.00,0.00,,,,,Y,20.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
dulce10,10412,Dulce10,Postres,,N,,,,,,,10.00,0.00,,,,N,Y,10.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
dulces,10122,Dulces,,,N,,,,,,,10.00,7.00,,,,N,Y,10.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
dulces-1,10123,Dulces,,,N,,,,,,,10.00,7.00,,,,N,Y,10.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
dulces-2,10190,Dulces,,,N,,,,,,,10.00,0.00,,,,N,Y,10.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
